,ID,SEX,AGE,FO,TIP,astr1_1,astr1_2,astr1_3,astr1_4,astr1_5,astr1_6,astr1_7,astr1_8,astr1_9,astr1_10,astr1_11,astr1_12,astr1_13,astr1_14,astr2,astr3,astr4,TV,d1,EDU,DOHOD_0,PROF1,PROF2,PROF3,Q515_98T,weight1
0,07246fad688ce8ea,Женский,76.0,Сибирский федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,Не верю ни в какие сверхъестественные силы и явления,,,,,,,,,,,,,,"Нет, я против этого, считаю это чепухой",Да,"Да, иногда просматриваю, интересно, что предсказывают",Ежедневно менее четырех часов в день,Не пользуюсь,"Среднее профессиональное (техникум, колледж, ПТУ)",Среднее,Неработающий пенсионер (в том числе по инвалидности),,,,0.6604158921563241
1,072470db1e8ceddf,Мужской,34.0,Сибирский федеральный округ,Город с численностью жителей миллион и более человек,Не верю ни в какие сверхъестественные силы и явления,,,,,,,,,,,,,,"Нет, мне это неинтересно",Да,"Нет, мне это неинтересно",Не смотрю,Провожу в интернете более четырех часов ежедневно,Незаконченное высшее (с 3-го курса вуза) или законченное высшее,Среднее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Финансовая и страховая деятельность, банковские услуги Включает в том числе: Банк, инвестиционный фонд, финансовая ар...",,1.4009267213823091
2,0724718c060ce072,Мужской,70.0,Сибирский федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,В Бога,,,,,,,,,,,,,,"Нет, я против этого, считаю это чепухой",Да,"Нет, мне это неинтересно",Смотрю более четырех часов ежедневно,Eжедневно менее четырех часов в день,"Два и более высших образования, ученая степень кандидата или доктора наук",Хорошее,Самозанятый,,Другое (укажите),производство овощей,0.7775384371451776
3,072473ffb98cea14,Мужской,68.0,Сибирский федеральный округ,Город с численностью от 50 тысяч до 100 тысяч,В Бога,,,,,,,,,,,,,,"Нет, я против этого, считаю это чепухой",Да,"Нет, мне это неинтересно",Несколько раз в неделю,Провожу в интернете более четырех часов ежедневно,"Среднее профессиональное (техникум, колледж, ПТУ)",Среднее,Неработающий пенсионер (в том числе по инвалидности),,,,0.9260401747918624
4,07247451044cebc5,Мужской,70.0,Сибирский федеральный округ,Город с численностью жителей миллион и более человек,В судьбу,,,,,,,,,,,,,,"Нет, мне это неинтересно",Да,"Нет, мне это неинтересно",Смотрю более четырех часов ежедневно,Не пользуюсь,Незаконченное высшее (с 3-го курса вуза) или законченное высшее,Среднее,Неработающий пенсионер (в том числе по инвалидности),,,,1.118662986077042
5,07247491844ced7f,Женский,51.0,Сибирский федеральный округ,Город с численностью от 50 тысяч до 100 тысяч,Не верю ни в какие сверхъестественные силы и явления,,,,,,,,,,,,,,"Нет, я против этого, считаю это чепухой",Да,"Да, иногда просматриваю, интересно, что предсказывают",Смотрю более четырех часов ежедневно,Несколько раз в неделю,Среднее общее (10 или 11 классов школы с аттестатом),Плохое,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Жилищно-коммунальное хозяйство Включает в том числе: водоканал, горгаз, вывоз мусора, котельная,  сортировка и перера...",,0.8201343559689314
6,0724754fdb0ce12a,Женский,72.0,Сибирский федеральный округ,Город с численностью менее 50 тысяч,В воздаяние за грехи,В Бога,,,,,,,,,,,,,"Да, случалось, делал (а) это для развлечения",Да,"Нет, мне это неинтересно",Смотрю более четырех часов ежедневно,Eжедневно менее четырех часов в день,"Среднее профессиональное (техникум, колледж, ПТУ)",Хорошее,Неработающий пенсионер (в том числе по инвалидности),,,,1.0643146651498216
7,072475e37bcce44b,Мужской,50.0,Сибирский федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,В Бога,,,,,,,,,,,,,,"Нет, мне это неинтересно",Да,"Нет, мне это неинтересно",Ежедневно менее четырех часов в день,Провожу в интернете более четырех часов ежедневно,Незаконченное высшее (с 3-го курса вуза) или законченное высшее,Среднее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Строительство Включает в том числе: архитектура, проектирование, дизайн интерьера",,0.5249076964188429
8,07247804530ce260,Мужской,52.0,Сибирский федеральный округ,Город с численностью менее 50 тысяч,В Бога,В воздаяние за грехи,,,,,,,,,,,,,"Нет, я против этого, считаю это чепухой",Да,"Нет, я против этого, считаю это антинаучным и вредным",Несколько раз в месяц,Eжедневно менее четырех часов в день,"Среднее профессиональное (техникум, колледж, ПТУ)",Среднее,Неработающий пенсионер (в том числе по инвалидности),,,,0.6251595956156438
9,07247a2fc24cee4b,Мужской,40.0,Сибирский федеральный округ,Город с численностью от 500 тысяч до 950 тысяч,Не верю ни в какие сверхъестественные силы и явления,,,,,,,,,,,,,,"Нет, мне это неинтересно",Да,"Нет, мне это неинтересно",Ежедневно менее четырех часов в день,Eжедневно менее четырех часов в день,"Среднее профессиональное (техникум, колледж, ПТУ)",Среднее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Строительство Включает в том числе: архитектура, проектирование, дизайн интерьера",,0.4580881000814535
10,07247a3bbd0ceef7,Женский,46.0,Сибирский федеральный округ,Город с численностью жителей миллион и более человек,В Бога,,,,,,,,,,,,,,"Нет, мне это неинтересно",Да,"Нет, мне это неинтересно",Несколько раз в неделю,Eжедневно менее четырех часов в день,"Среднее профессиональное (техникум, колледж, ПТУ)",Среднее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Общественное питание, ресторанный и гостиничный бизнес Включает в том числе: Кафе, ресторан, доставка продуктов питан...",,0.7321665363464696
11,07247a4b868cefc3,Женский,35.0,Сибирский федеральный округ,Город с численностью жителей миллион и более человек,В Бога,,,,,,,,,,,,,,"Нет, я против этого, считаю это чепухой",Да,"Нет, мне это неинтересно",Ежедневно менее четырех часов в день,Несколько раз в неделю,"Среднее профессиональное (техникум, колледж, ПТУ)",Среднее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Промышленность, производство (в т.ч. добывающие, обрабатывающие отрасли, энергетика) Включает в том числе: Завод, ком...",,0.9451666264833208
